"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,12420,0.31247783
0,12435,0.3123336
0,12450,0.31218946
0,12465,0.3120454
0,12480,0.3119014
0,12495,0.31175745
0,12510,0.3116136
0,12525,0.3114698
0,12540,0.31132606
0,12555,0.31118238
0,12570,0.3110388
0,12585,0.31089526
0,12600,0.31075183
0,12615,0.31060842
0,12630,0.3104651
0,12645,0.31032184
0,12660,0.31017867
0,12675,0.31003556
0,12690,0.3098925
0,12705,0.3097495
0,12720,0.30960658
0,12735,0.30946374
0,12750,0.30932096
0,12765,0.30917826
0,12780,0.3090356
0,12795,0.30889302
0,12810,0.30875054
0,12825,0.30860808
0,12840,0.30846572
0,12855,0.3083234
0,12870,0.30818117
0,12885,0.308039
0,12900,0.30789688
0,12915,0.30775484
0,12930,0.3076129
0,12945,0.30747098
0,12960,0.30732915
0,12975,0.30718738
0,12990,0.30704567
0,13005,0.30690405
0,13020,0.3067625
0,13035,0.306621
0,13050,0.30647954
0,13065,0.3063382
0,13080,0.3061969
0,13095,0.30605567
0,13110,0.3059145
0,13125,0.30577338
0,13140,0.30563235
0,13155,0.3054914
0,13170,0.30535048
0,13185,0.30520967
0,13200,0.3050689
0,13215,0.3049282
0,13230,0.30478758
0,13245,0.304647
0,13260,0.3045065
0,13275,0.30436608
0,13290,0.3042257
0,13305,0.3040854
0,13320,0.30394518
0,13335,0.30380502
0,13350,0.30366492
0,13365,0.30352488
0,13380,0.3033849
0,13395,0.303245
0,13410,0.30310518
0,13425,0.3029654
0,13440,0.3028257
0,13455,0.30268607
0,13470,0.3025465
0,13485,0.30240697
0,13500,0.30226755
0,13515,0.30212817
0,13530,0.30198887
0,13545,0.3018496
0,13560,0.30171043
0,13575,0.30157134
0,13590,0.30143228
0,13605,0.3012933
0,13620,0.30115438
0,13635,0.30101553
0,13650,0.30087677
0,13665,0.30073804
0,13680,0.3005994
0,13695,0.30046082
0,13710,0.3003223
0,13725,0.30018383
0,13740,0.30004543
0,13755,0.29990712
0,13770,0.29976884
0,13785,0.29963064
0,13800,0.2994925
0,13815,0.29935446
0,13830,0.29921645
0,13845,0.29907852
0,13860,0.29894066
0,13875,0.29880285
0,13890,0.2986651
0,13905,0.29852745
0,13920,0.29838982
0,13935,0.29825228
0,13950,0.2981148
0,13965,0.2979774
0,13980,0.29784003
0,13995,0.29770276
0,14010,0.29756552
0,14025,0.29742837
0,14040,0.29729128
0,14055,0.29715425
0,14070,0.2970173
0,14085,0.2968804
0,14100,0.29674357
0,14115,0.2966068
0,14130,0.29647008
0,14145,0.29633346
0,14160,0.29619688
0,14175,0.29606035
0,14190,0.29592392
0,14205,0.29578754
0,14220,0.29565123
0,14235,0.29551497
0,14250,0.29537877
0,14265,0.29524264
0,14280,0.2951066
0,14295,0.29497057
0,14310,0.29483464
0,14325,0.29469877
0,14340,0.29456297
0,14355,0.29442722
0,14370,0.29429156
0,14385,0.29415593
0,14400,0.29402038
0,14415,0.2938849
0,14430,0.29374948
0,14445,0.29361412
0,14460,0.29347882
0,14475,0.29334357
0,14490,0.29320842
0,14505,0.29307333
0,14520,0.29293826
0,14535,0.2928033
0,14550,0.29266837
0,14565,0.29253352
0,14580,0.29239875
0,14595,0.292264
0,14610,0.29212937
0,14625,0.29199475
0,14640,0.29186022
0,14655,0.29172575
0,14670,0.29159135
0,14685,0.291457
0,14700,0.2913227
0,14715,0.2911885
0,14730,0.29105434
0,14745,0.29092026
0,14760,0.2907862
0,14775,0.29065225
0,14790,0.29051834
0,14805,0.2903845
0,14820,0.29025072
0,14835,0.29011703
0,14850,0.28998336
0,14865,0.28984976
0,14880,0.28971624
0,14895,0.2895828
0,14910,0.2894494
0,14925,0.28931603
0,14940,0.28918275
0,14955,0.28904957
0,14970,0.2889164
0,14985,0.2887833
0,15000,0.28865027
0,15015,0.28851733
0,15030,0.2883844
0,15045,0.28825158
0,15060,0.2881188
0,15075,0.2879861
0,15090,0.28785345
0,15105,0.28772086
0,15120,0.28758833
0,15135,0.28745586
0,15150,0.28732345
0,15165,0.28719112
0,15180,0.28705883
0,15195,0.28692663
0,15210,0.28679445
0,15225,0.28666237
0,15240,0.28653035
0,15255,0.28639838
0,15270,0.28626648
0,15285,0.28613463
0,15300,0.28600284
0,15315,0.28587112
0,15330,0.28573945
0,15345,0.28560787
0,15360,0.28547633
0,15375,0.28534484
0,15390,0.28521344
0,15405,0.2850821
0,15420,0.2849508
0,15435,0.28481957
0,15450,0.2846884
0,15465,0.2845573
0,15480,0.28442624
0,15495,0.28429526
0,15510,0.28416434
0,15525,0.2840335
0,15540,0.2839027
0,15555,0.28377196
0,15570,0.28364128
0,15585,0.28351066
0,15600,0.28338012
0,15615,0.28324962
0,15630,0.2831192
0,15645,0.28298882
0,15660,0.28285852
0,15675,0.28272825
0,15690,0.28259808
0,15705,0.28246796
0,15720,0.2823379
0,15735,0.28220788
0,15750,0.28207794
0,15765,0.28194806
0,15780,0.28181824
0,15795,0.28168848
0,15810,0.28155878
0,15825,0.28142914
0,15840,0.28129956
0,15855,0.28117004
0,15870,0.2810406
0,15885,0.2809112
0,15900,0.28078187
0,15915,0.28065258
0,15930,0.2805234
0,15945,0.28039423
0,15960,0.28026512
0,15975,0.2801361
0,15990,0.28000712
0,16005,0.2798782
0,16020,0.27974936
0,16035,0.27962056
0,16050,0.27949184
0,16065,0.27936316
0,16080,0.27923456
0,16095,0.279106
0,16110,0.2789775
0,16125,0.2788491
0,16140,0.2787207
0,16155,0.2785924
0,16170,0.27846417
0,16185,0.27833596
0,16200,0.27820784
0,16215,0.27807978
0,16230,0.27795175
0,16245,0.2778238
0,16260,0.27769592
0,16275,0.27756807
0,16290,0.2774403
0,16305,0.2773126
0,16320,0.27718496
0,16335,0.27705735
0,16350,0.27692983
